"Model","File","Line","Page","ID","Severity","Category","Evidence","Why","Fix"
"GPT511","GPt 511.md","121","/compare","COMP-01","High","Interaction UX","No remove/clear UI inside compare; CompareDock hides on `/compare`.","Users cannot iterate comparisons; leads to abandonment.","Add column â€œRemoveâ€ buttons + â€œClear compareâ€ in header; show CompareDock controls on compare page."
"GPT511","GPt 511.md","122","/compare","COMP-02","Medium","Content/copy","H1 says â€œCompare workstation and storage options.â€","Users may think seating/tables canâ€™t be compared.","Rename to â€œCompare productsâ€ and update empty-state suggestions to include all categories."
"GPT511","GPt 511.md","123","/compare","COMP-03","Medium","Mobile responsiveness","Table requires horizontal scroll (`min-w-[760px]`).","Mobile users struggle to compare many rows/columns.","Add mobile compare mode: stacked product cards with expandable spec groups."
"GPT511","GPt 511.md","124","/compare","COMP-04","Medium","Decision support","Spec rows omit lead time, finishes, service coverage, and documentation.","Buyers still need calls to decide; weakens â€œself-serve.â€","Add rows for lead time, finishes, service SLA, warranty terms, and downloadable docs."
"GPT511","GPt 511.md","125","/compare","COMP-05","Low","CTA clarity","Empty state only links to workstations/storages categories.","Underutilizes compare for other categories.","Add â€œBrowse seatingâ€ and â€œBrowse soft seatingâ€ shortcuts."
"GPT511","GPt 511.md","131","/contact","CONT-01","Critical","Interaction UX","Contact API returns follow-up links to the userâ€™s own email/phone (`mailto:${userEmail}`, `wa.me/${userPhone}`), and the UI surfaces â€œReply by Email/WhatsApp.â€","Breaks trust at the exact conversion moment; creates immediate confusion.","Generate follow-ups to official channels (e.g., `sales@oando.co.in`, official WhatsApp) with the query ID prefilled; show â€œWeâ€™ll reach outâ€ confirmation."
"GPT511","GPt 511.md","132","/contact","CONT-02","High","Trust/credibility","No explicit consent line/checkbox near submit.","Legal/trust risk; users hesitate sharing phone numbers.","Add consent statement with `/privacy` link + optional checkbox for marketing updates."
"GPT511","GPt 511.md","133","/contact","CONT-03","Medium","Trust/credibility","Contact directory is inconsistent across site (Contact page vs IVR vs WhatsApp widget).","Confusing and looks uncoordinated.","Centralize contacts in one source and reuse across pages/widgets; include hours."
"GPT511","GPt 511.md","134","/contact","CONT-04","Medium","Content/copy","Message field is unstructured; required info (city, seats, timeline) is optional unless users use chatbot.","Slower quote turnaround; more back-and-forth.","Add structured fields (city, seats, timeline, budget range) and prefill from quote cart/configurator when relevant."
"GPT511","GPt 511.md","135","/contact","CONT-05","Medium","Mobile responsiveness","Two-column layout stacks; no fast â€œCall/WhatsApp/Emailâ€ row under hero.","Extra scroll to the preferred channel on mobile.","Add a 3-button mobile quick-actions row under hero (Call, WhatsApp, Email)."
"GPT511","GPt 511.md","141","/planning","PLAN-01","Medium","Content/copy","Workflow + deliverables are listed without turnaround times.","Hard for decision-makers to commit without timeline clarity.","Add â€œTypical timelineâ€ module (workshop, concept, BOQ) with ranges."
"GPT511","GPt 511.md","142","/planning","PLAN-02","Medium","Trust/credibility","No sample deliverables or proof artifacts.","Planning value is abstract without examples.","Add a â€œSample outputsâ€ section (blurred preview + request download)."
"GPT511","GPt 511.md","143","/planning","PLAN-03","Low","Visual hierarchy","Deliverables are plain list items without scan aids.","Lower skim efficiency on mobile.","Add icons and group deliverables by phase."
"GPT511","GPt 511.md","144","/planning","PLAN-04","Medium","CTA clarity","Hero uses `showButton=false` so the first CTA appears later.","Lost conversions above fold.","Enable hero CTA â€œRequest planning callâ€ linking to `/contact?intent=planning`."
"GPT511","GPt 511.md","145","/planning","PLAN-05","Low","Mobile responsiveness","Long scroll lacks section navigation.","Users miss key sections.","Add â€œJump toâ€ chips (Workflow, Deliverables, Contact)."
"GPT511","GPt 511.md","151","/service","SERV-01","High","Trust/credibility","Service page routes users to `/tracking`, which is currently a simulated demo.","Undermines after-sales credibility.","Replace with `/support-ivr` and a real service request form; hide tracking until real."
"GPT511","GPt 511.md","152","/service","SERV-02","Medium","Content/copy","No SLA/hours are stated for phone/email/WhatsApp channels.","Unclear expectations increase inbound calls and churn.","Add response-time expectations + support hours near channel cards."
"GPT511","GPt 511.md","153","/service","SERV-03","Medium","Interaction UX","WhatsApp link prefill is generic and doesnâ€™t ask for order ref/photos.","Slower resolution and more back-and-forth.","Prefill WhatsApp text with required fields and a short checklist."
"GPT511","GPt 511.md","154","/service","SERV-04","Low","IA/navigation","Service page doesnâ€™t cross-link refund policy + terms from the support context.","Users canâ€™t self-serve policy questions.","Add â€œPoliciesâ€ links section (Refund, Terms, Privacy)."
"GPT511","GPt 511.md","155","/service","SERV-05","Low","Accessibility/contrast","Some card links rely on hover styling; ensure focus-visible styling exists.","Keyboard users may lose position.","Add consistent `focus-visible:ring` on all service channel cards."
"GPT511","GPt 511.md","161","/solutions","SOL-01","Medium","CTA clarity","Delivery step cards have no contextual CTAs.","Users must guess the next action.","Add CTAs per step (Planning call, Configurator, Downloads)."
"GPT511","GPt 511.md","162","/solutions","SOL-02","Medium","Trust/credibility","Page stats are hard-coded constants (not KPI-sourced).","Risk of inconsistency across the site.","Use the same KPI source (`getBusinessStats`) and display â€œAs ofâ€ date."
"GPT511","GPt 511.md","163","/solutions","SOL-03","Medium","IA/navigation","`/solutions` is framed as process, but â€œSolutionsâ€ often implies product/industry solutions.","Semantic mismatch can confuse.","Rename nav label to â€œHow we deliverâ€ or add an â€œIndustry solutionsâ€ section with links to `/solutions/[category]`."
"GPT511","GPt 511.md","164","/solutions","SOL-04","Low","Visual hierarchy","Step imagery uses product photos, not process visuals.","Can miscommunicate the stepâ€™s purpose.","Replace with process photos/diagrams and captions (brief, BOQ, install)."
"GPT511","GPt 511.md","165","/solutions","SOL-05","Low","Mobile responsiveness","Long page lacks a small TOC.","Mobile users miss sections.","Add sticky TOC chips at top of page."
"GPT511","GPt 511.md","171","/showrooms","SHOW-01","Medium","IA/navigation","â€œShowroomsâ€ page doesnâ€™t reliably surface showroom address/hours near top.","Users seeking a visit can bounce.","Add â€œVisit showroomâ€ module (address, hours, map, call CTA) in the first scroll."
"GPT511","GPt 511.md","172","/showrooms","SHOW-02","Medium","Performance perception","Page composes many heavy modules (carousel, quotes, multiple sections).","Slower perceived load, especially on mobile.","Lazy-load below-fold modules and reduce motion effects on mobile."
"GPT511","GPt 511.md","173","/showrooms","SHOW-03","Low","Content/copy","Client lists and highlights duplicate other trust pages.","Repetition reduces perceived depth.","Replace duplicate lists with â€œTop 3 showroom-ready categoriesâ€ + links."
"GPT511","GPt 511.md","174","/showrooms","SHOW-04","Medium","Merchandising/discovery","â€œSignature deliveriesâ€ are text-only without proof links.","Weakens trust.","Add 1 image + â€œView in portfolioâ€ link per highlight."
"GPT511","GPt 511.md","175","/showrooms","SHOW-05","Low","Mobile responsiveness","Long scroll needs navigation aids.","Users miss key blocks.","Add â€œJump toâ€ chips (Visit, Proof, Portfolio, Contact)."
"GPT511","GPt 511.md","181","/downloads","DOWN-01","High","CTA clarity","â€œDownloadsâ€ CTAs route to `/contact` or `/planning` (no direct files).","High-intent users expecting PDFs drop off.","Offer instant downloads (email-gated) with file list, sizes, and last-updated; keep â€œrequest packâ€ as secondary."
"GPT511","GPt 511.md","182","/downloads","DOWN-02","Medium","Trust/credibility","No explicit file inventory (catalogs, spec sheets, warranty docs).","Feels incomplete and less professional.","Add a searchable document list with categories and metadata."
"GPT511","GPt 511.md","183","/downloads","DOWN-03","Medium","Merchandising/discovery","Resource categories are generic, not role-based.","Procurement vs design vs facilities needs differ.","Create persona packs (Procurement BOQ pack, Facilities maintenance pack, Designer finishes pack)."
"GPT511","GPt 511.md","184","/downloads","DOWN-04","Medium","IA/navigation","`/brochure`, `/catalog`, `/download-brochure` redirect here but page doesnâ€™t tailor the landing.","Users lose context and abandon.","Add `?intent=` handling and auto-scroll to the relevant pack with prefilled request."
"GPT511","GPt 511.md","185","/downloads","DOWN-05","Low","Mobile responsiveness","No sticky download CTA once users scroll.","Missed conversions.","Add a sticky â€œRequest documentsâ€ CTA after 25% scroll."
"GPT511","GPt 511.md","191","/portfolio","PORT-01","Medium","Decision support","Portfolio groups photos by client but doesnâ€™t state outcomes (seat count, timeline, categories).","Proof is visual but not decision-ready.","Add 3 bullets per client: scope, product mix, delivery time; link to relevant categories."
"GPT511","GPt 511.md","192","/portfolio","PORT-02","Medium","Merchandising/discovery","No filtering by sector/location/category.","Hard to find relevant examples quickly.","Add filters + search (sector, city, â€œoperations floor,â€ â€œexecutiveâ€)."
"GPT511","GPt 511.md","193","/portfolio","PORT-03","Medium","Performance perception","Renders many large images; no pagination by client group.","Slow on mobile and increases data usage.","Paginate per client and lazy-load additional photos (â€œView moreâ€)."
"GPT511","GPt 511.md","194","/portfolio","PORT-04","Low","IA/navigation","No â€œshare case studyâ€ or â€œrequest similar setupâ€ CTA per client group.","Missed conversion moment when proof is strongest.","Add per-client CTA: â€œRequest a similar setupâ€ prefilled with client ID and photos."
"GPT511","GPt 511.md","195","/portfolio","PORT-05","Low","Mobile responsiveness","Photo stacks can become long with no collapse control.","Scroll fatigue.","Add â€œCollapse/expandâ€ per client gallery and a back-to-top button."
"GPT511","GPt 511.md","201","/gallery","GALL-01","Medium","Mobile responsiveness","Masonry is configured with `columns={2}` (no breakpoint override).","Images become too small to judge quality on mobile.","Switch to 1 column under 640px and 2 columns above; keep spacing consistent."
"GPT511","GPt 511.md","202","/gallery","GALL-02","Medium","Interaction UX","No lightbox/zoom to inspect details.","Gallery fails as proof for finish quality.","Add modal lightbox with swipe + pinch (mobile) and keyboard navigation (desktop)."
"GPT511","GPt 511.md","203","/gallery","GALL-03","Low","Merchandising/discovery","Only 6 curated entries; no â€œsee moreâ€ path besides footer nav.","Feels thin.","Add â€œView full portfolioâ€ CTA above the masonry grid."
"GPT511","GPt 511.md","204","/gallery","GALL-04","Low","Accessibility/contrast","Text is placed over photos with a gradient overlay.","Some photos may still reduce contrast in bright areas.","Increase overlay strength behind text or add text-shadow to guarantee readability."
"GPT511","GPt 511.md","205","/gallery","GALL-05","Medium","Merchandising/discovery","No category/location filters.","Users canâ€™t isolate relevant proof quickly.","Add filters (Corporate, Government, Institutional; Patna/Delhi)."
"GPT511","GPt 511.md","211","/news","NEWS-01","Medium","Content/copy","News items are static cards with no detail pages or sources.","Reduces credibility and SEO value.","Add `/news/[slug]` pages with photos, dates, and project references."
"GPT511","GPt 511.md","212","/news","NEWS-02","Medium","Trust/credibility","Dates are month-only (e.g., â€œMarch 2026â€).","Feels generic and potentially fabricated.","Use specific dates and include a named project/client context where possible."
"GPT511","GPt 511.md","213","/news","NEWS-03","Low","CTA clarity","Single CTA routes to `/social` only.","Weak next step for high-intent readers.","Add â€œSubscribe,â€ â€œContact sales,â€ and â€œView portfolioâ€ CTAs."
"GPT511","GPt 511.md","214","/news","NEWS-04","Low","IA/navigation","No archive/pagination structure.","Future growth becomes messy.","Add an archive index and tagging (Project, Product, Service)."
"GPT511","GPt 511.md","215","/news","NEWS-05","Low","Accessibility/contrast","Dates arenâ€™t rendered as semantic `<time>` elements.","Reduced accessibility/SEO semantics.","Render dates with `<time dateTime=""YYYY-MM-DD"">`."
"GPT511","GPt 511.md","221","/trusted-by","TRUST-01","Medium","IA/navigation","Duplicates â€œclient directoryâ€ intent with `/projects`.","Users canâ€™t tell which page is authoritative.","Make `/trusted-by` the full client directory; move case studies to `/projects`."
"GPT511","GPt 511.md","222","/trusted-by","TRUST-02","Medium","Trust/credibility","Client proof is text-only badges.","Recognition and credibility are weaker without logos/photos.","Add logos where permitted and link to portfolio evidence per client group."
"GPT511","GPt 511.md","223","/trusted-by","TRUST-03","Medium","Content/copy","No â€œAs ofâ€ date for stats.","Stats can feel ungrounded.","Add as-of date line and measurement note."
"GPT511","GPt 511.md","224","/trusted-by","TRUST-04","Low","Accessibility/contrast","Small uppercase label text uses lighter neutrals.","Contrast risk for essential labels.","Increase label color to neutral-700 and/or size to 12â€“14px."
"GPT511","GPt 511.md","225","/trusted-by","TRUST-05","Medium","Merchandising/discovery","No search/filter by sector.","Hard to find relevant proof.","Add sector/location filters and quick jump chips."
"GPT511","GPt 511.md","231","/sustainability","SUST-01","High","Trust/credibility","Strong claims (e.g., â€œUp to 98%â€¦â€, â€œindependent benchmarksâ€) are presented without citations.","Greenwashing risk and buyer skepticism.","Add sources/certificates and scope notes (which products, which audits, what methodology)."
"GPT511","GPt 511.md","232","/sustainability","SUST-02","Medium","Decision support","Eco-Score is described but not connected to product discovery as an explicit path.","Users canâ€™t act on the message.","Add CTAs to filtered/sorted category pages (Eco 8+; BIFMA; recycled materials)."
"GPT511","GPt 511.md","233","/sustainability","SUST-03","High","Interaction UX","Newsletter form has no submit handling; button defaults to submit and can trigger a page reload with no success state.","Breaks trust and creates a â€œfake formâ€ experience.","Either wire to an email capture endpoint with confirmation + double opt-in, or remove until functional."
"GPT511","GPt 511.md","234","/sustainability","SUST-04","Medium","Accessibility/contrast","Newsletter disclaimer uses `text-neutral-400` on white (low contrast).","Fails readability and compliance.","Use neutral-600+, increase size, and keep line length â‰¤70 characters."
"GPT511","GPt 511.md","235","/sustainability","SUST-05","Low","Mobile responsiveness","Long page lacks a TOC/jump links.","Mobile users miss important sections.","Add sticky TOC chips (Principles, Eco-Score, Proof, Subscribe)."
"GPT511","GPt 511.md","241","/career","CARE-01","Medium","CTA clarity","Jobs are listed but no â€œapplyâ€ flow beyond a mailto link.","Fewer qualified applications.","Add job detail pages/modals with a short apply form (resume link + basics)."
"GPT511","GPt 511.md","242","/career","CARE-02","Medium","Trust/credibility","No benefits, culture proof, or growth path detail.","Higher candidate drop-off.","Add benefits, team photos, and a short â€œhow we workâ€ section."
"GPT511","GPt 511.md","243","/career","CARE-03","Low","Content/copy","â€œNo matching role yet?â€ uses plain email with no template.","Adds friction for applicants.","Provide a prefilled subject/body template (role interest, portfolio link)."
"GPT511","GPt 511.md","244","/career","CARE-04","Low","Accessibility/contrast","Ensure JobCard uses proper heading hierarchy and focus states.","Screen reader navigation may suffer.","Enforce semantic headings and `focus-visible` on interactive rows."
"GPT511","GPt 511.md","245","/career","CARE-05","Low","Mobile responsiveness","No filtering by department/location.","Hard to find relevant roles.","Add simple filters (department, location)."
"GPT511","GPt 511.md","251","/social","SOC-01","High","Trust/credibility","Social feed is explicitly mocked (hard-coded posts + emoji-heavy captions).","Feels like a demo and reduces brand professionalism.","Hide from primary nav until real feed, or label as â€œPreviewâ€ and use brand-consistent captions."
"GPT511","GPt 511.md","252","/social","SOC-02","High","Interaction UX","â€œShop this Lookâ€ is revealed via hover overlay (`group-hover` opacity).","On mobile touch, hover isnâ€™t reliable â†’ CTA can be inaccessible.","Make CTA visible on mobile or open a tap-to-view modal with CTA."
"GPT511","GPt 511.md","253","/social","SOC-03","Medium","Merchandising/discovery","Redirect relies on product lookup; fallback routes to `/products` without context.","Users land in a generic listing and abandon.","Store category in post data and route to `/products/{category}` when SKU not found."
"GPT511","GPt 511.md","254","/social","SOC-04","Low","CTA clarity","Instagram handle is displayed but not linked.","Missed social follow conversion.","Link handle to the actual Instagram profile URL."
"GPT511","GPt 511.md","255","/social","SOC-05","Medium","Accessibility/contrast","Image alt uses full captions (emojis/hashtags) rather than describing the image.","Screen reader experience is noisy and less informative.","Use descriptive alt text; keep caption separate for visuals."
"GPT511","GPt 511.md","261","/tracking","TRACK-01","Critical","Trust/credibility","Tracking is simulated (valid IDs start with â€œDEâ€; fixed timeline dates).","Severe credibility damage if users believe itâ€™s real.","Remove from public nav until real integration; replace with â€œRequest status updateâ€ flow via support."
"GPT511","GPt 511.md","262","/tracking","TRACK-02","High","Content/copy","Placeholder suggests â€œTry â€˜DE-123â€™.â€","Signals demo mode and erodes trust.","Remove demo prompts; show real format guidance only."
"GPT511","GPt 511.md","263","/tracking","TRACK-03","Medium","Accessibility/contrast","No focus management when results appear; error/success panels arenâ€™t announced.","Screen reader users may miss updates.","Add aria-live region and focus the results panel on update."
"GPT511","GPt 511.md","264","/tracking","TRACK-04","Medium","IA/navigation","Tracking isnâ€™t connected to any actual order/quote lifecycle (quote cart doesnâ€™t generate IDs).","Users canâ€™t meaningfully use the page.","Gate tracking behind an email link from real confirmations, or remove the route."
"GPT511","GPt 511.md","265","/tracking","TRACK-05","Low","Mobile responsiveness","Timeline layout is dense; needs small-screen spacing checks.","Potential overlap in narrow widths.","Increase spacing and allow step text wrapping with clearer hierarchy."
"GPT511","GPt 511.md","271","/quote-cart","QCART-01","High","IA/navigation","There is no persistent way to open the quote cart (SiteHeader/primary nav omit `/quote-cart`; add-to-quote buttons donâ€™t link to cart).","Users add items but canâ€™t find them â†’ conversion loss.","Add header cart icon with quantity and/or a QuoteCartDock that appears when cart has items."
"GPT511","GPt 511.md","272","/quote-cart","QCART-02","High","CTA clarity","â€œSubmit Quote Requestâ€ links to `/contact` but doesnâ€™t transfer cart contents.","Forces re-entry; increases drop-off.","Pass cart items to contact via query param or submit directly from cart to the same API with items appended."
"GPT511","GPt 511.md","273","/quote-cart","QCART-03","Medium","Decision support","No export/share of the quote list.","B2B buying requires internal sharing.","Add â€œCopy list,â€ â€œEmail list,â€ and â€œWhatsApp listâ€ actions including SKUs/links."
"GPT511","GPt 511.md","274","/quote-cart","QCART-04","Medium","Mobile responsiveness","Qty controls use ~36px buttons.","Below recommended tap target size.","Increase to â‰¥44px and add haptic/visual feedback."
"GPT511","GPt 511.md","275","/quote-cart","QCART-05","Low","Content/copy","Cart copy doesnâ€™t clearly state â€œThis is not an order.â€","Expectation mismatch.","Add a disclaimer line and next-step explanation."
"GPT511","GPt 511.md","281","/privacy","PRIV-01","High","Trust/credibility","No â€œLast updatedâ€ date or versioning.","Reduces legal credibility.","Add â€œLast updatedâ€ and a change log section."
"GPT511","GPt 511.md","282","/privacy","PRIV-02","High","Content/copy","Policy lists sensitive data types (e.g., credit card info) not reflected in the siteâ€™s flows.","Looks copied and untrustworthy.","Rewrite to match actual collection (contact forms, configurator, tracking cookies, product views)."
"GPT511","GPt 511.md","283","/privacy","PRIV-03","Medium","Trust/credibility","Cookie policy doesnâ€™t enumerate the actual cookies used (e.g., consent + SEO attribution cookies).","Compliance gap.","Add cookie table: name, purpose, category, expiry (include consent + SEO attribution keys)."
"GPT511","GPt 511.md","284","/privacy","PRIV-04","Medium","Trust/credibility","Data subject rights process isnâ€™t clearly stated (access/deletion timelines).","Users canâ€™t self-serve privacy requests.","Add rights section + contact + response time commitments."
"GPT511","GPt 511.md","285","/privacy","PRIV-05","Low","Mobile responsiveness","Dense text blocks without TOC.","Readability suffers on mobile.","Add TOC and section dividers; limit line length."
"GPT511","GPt 511.md","291","/terms","TERMS-01","High","Trust/credibility","Terms are very short and omit key clauses (jurisdiction, dispute resolution, IP, detailed liability).","Legal ambiguity reduces procurement confidence.","Expand with counsel-reviewed sections including jurisdiction and dispute clauses."
"GPT511","GPt 511.md","292","/terms","TERMS-02","Medium","IA/navigation","No cross-links to privacy/refund policy within the terms.","Users canâ€™t verify related policies easily.","Add â€œRelated policiesâ€ links at top and bottom."
"GPT511","GPt 511.md","293","/terms","TERMS-03","Medium","Content/copy","B2B purchase model is implied but not explicit (no checkout; quote-based).","Confusion about ordering.","Add explicit statement: quote acceptance + PO-based fulfillment; no online payment."
"GPT511","GPt 511.md","294","/terms","TERMS-04","Low","Trust/credibility","No last updated date.","Appears stale.","Add last updated date and review cadence."
"GPT511","GPt 511.md","295","/terms","TERMS-05","Low","Accessibility/contrast","Ensure readable line length for the large heading style.","Long lines reduce readability.","Constrain text container width (~70ch) and add spacing."
"GPT511","GPt 511.md","301","/imprint","IMPR-01","Medium","Trust/credibility","Imprint lacks formal legal entity details (full company name, registration IDs like GSTIN/CIN).","Procurement teams may reject.","Add legal entity name + registration numbers + registered office details."
"GPT511","GPt 511.md","302","/imprint","IMPR-02","Medium","Interaction UX","Email is displayed as plain text (not a mailto link).","Adds friction for users.","Convert to clickable `mailto:` and add copy-to-clipboard."
"GPT511","GPt 511.md","303","/imprint","IMPR-03","Low","IA/navigation","No quick links to policies from the imprint.","Users hunt for legal docs.","Add links to Privacy, Terms, Refund policy."
"GPT511","GPt 511.md","304","/imprint","IMPR-04","Medium","Trust/credibility","â€œAuthorized dealerâ€ claim is vague (no brands listed).","Feels like marketing, not proof.","List authorized brands or remove claim; link to proof where possible."
"GPT511","GPt 511.md","305","/imprint","IMPR-05","Low","Mobile responsiveness","Address block could be made copy-friendly on mobile.","Users retype manually.","Add â€œCopy addressâ€ button."
"GPT511","GPt 511.md","311","/refund-and-return-policy","REF-01","Medium","Content/copy","Policy is generic and doesnâ€™t clearly address made-to-order/B2B installs.","Disputes risk and lower trust.","Add explicit â€œCustom/B2B ordersâ€ section and conditions."
"GPT511","GPt 511.md","312","/refund-and-return-policy","REF-02","Medium","Trust/credibility","Limited self-serve support links (no direct path to service/support center).","Users may churn to calls.","Add links to `/service` and `/support-ivr` plus â€œattach photosâ€ guidance."
"GPT511","GPt 511.md","313","/refund-and-return-policy","REF-03","Low","Content/copy","Timelines are stated but not scoped (working days/time zone).","Misaligned expectations.","Specify working days, time zone, and exceptions."
"GPT511","GPt 511.md","314","/refund-and-return-policy","REF-04","Low","Visual hierarchy","Long lists could use summaries and section callouts.","Hard to skim.","Add â€œAt a glanceâ€ summary and collapsible sections."
"GPT511","GPt 511.md","315","/refund-and-return-policy","REF-05","Low","Mobile responsiveness","No sticky â€œEmail/Call supportâ€ bar.","Extra scroll when users need action.","Add sticky support actions for policy pages."
"GPT511","GPt 511.md","321","/brochure","BRO-01","High","IA/navigation","Route redirects to `/downloads` without preserving â€œbrochure intent.â€","Users expecting a brochure feel bounced.","Redirect to `/downloads?intent=brochure` and auto-focus the brochure module."
"GPT511","GPt 511.md","322","/brochure","BRO-02","Medium","CTA clarity","No direct brochure file option.","High-intent users abandon.","Provide a brochure PDF with email-gated instant download."
"GPT511","GPt 511.md","323","/brochure","BRO-03","Medium","Trust/credibility","Brochure keywords may not rank if page is only a redirect.","SEO opportunity loss.","Keep `/brochure` as a canonical brochure landing page with schema and CTA."
"GPT511","GPt 511.md","324","/brochure","BRO-04","Low","Interaction UX","No download analytics separation.","Canâ€™t optimize lead source.","Track brochure downloads separately from generic contact leads."
"GPT511","GPt 511.md","325","/brochure","BRO-05","Low","Mobile responsiveness","Redirect should land users at the right section without extra scrolling.","Friction on mobile.","Use anchor scroll to the brochure block after redirect."
"GPT511","GPt 511.md","331","/download-brochure","DBRO-01","High","CTA clarity","â€œdownload-brochureâ€ redirects to `/downloads` rather than downloading.","Breaks user expectation.","Serve a direct file (or a gated download) at this route."
"GPT511","GPt 511.md","332","/download-brochure","DBRO-02","Medium","Interaction UX","If gating is required, a full-page redirect adds friction.","Lower completion rates.","Inline form + immediate download (no page change) with success state."
"GPT511","GPt 511.md","333","/download-brochure","DBRO-03","Medium","Trust/credibility","No file size/language/version info.","Procurement users care about version control.","Show PDF metadata and â€œlast updated.â€"
"GPT511","GPt 511.md","334","/download-brochure","DBRO-04","Low","IA/navigation","No backup path for users who want to browse categories instead.","Dead end for some users.","Add secondary CTA â€œBrowse productsâ€ in the brochure flow."
"GPT511","GPt 511.md","335","/download-brochure","DBRO-05","Low","Mobile responsiveness","Ensure one-tap after form completion.","Extra steps hurt mobile conversion.","Auto-trigger download after successful submit."
"GPT511","GPt 511.md","341","/catalog","CAT-01","High","IA/navigation","â€œ/catalogâ€ redirects to `/downloads` (no catalog index).","Users looking for a catalog bounce.","Create a catalog index page (categories + packs) and keep `/downloads` for documents."
"GPT511","GPt 511.md","342","/catalog","CAT-02","Medium","Merchandising/discovery","No taxonomy-first navigation for catalog intent.","Hard to self-serve.","Add category tiles + â€œrequest packâ€ CTAs per category."
"GPT511","GPt 511.md","343","/catalog","CAT-03","Medium","Trust/credibility","Redirect-only page weakens â€œcatalogâ€ SEO intent.","Lost organic opportunity.","Make `/catalog` canonical with structured data (CollectionPage) and internal links."
"GPT511","GPt 511.md","344","/catalog","CAT-04","Low","CTA clarity","No â€œdownload allâ€ pack option.","Users request manually.","Provide a zip/combined PDF option with version notes."
"GPT511","GPt 511.md","345","/catalog","CAT-05","Low","Mobile responsiveness","Catalog browsing should be thumb-friendly.","Small tap targets reduce usability.","Use large category tiles and sticky download CTA."
"GPT511","GPt 511.md","351","/support-ivr","IVR-01","High","Trust/credibility","IVR tree contact values differ from `/contact` and WhatsApp widget (multiple phone numbers/emails).","Users doubt legitimacy.","Centralize the contact directory and render the same numbers everywhere; show hours."
"GPT511","GPt 511.md","352","/support-ivr","IVR-02","Medium","Interaction UX","â€œOrder Statusâ€ is info-only, not an action link.","Users canâ€™t proceed.","Convert to a link action to `/tracking` (if real) or `/contact?intent=order-status`."
"GPT511","GPt 511.md","353","/support-ivr","IVR-03","Medium","Interaction UX","Terminal â€œcontactâ€ value is shown as text, not clickable tel/mail, and no copy button.","Adds friction on mobile.","Render `tel:` / `mailto:` buttons + â€œCopyâ€ action."
"GPT511","GPt 511.md","354","/support-ivr","IVR-04","Low","Visual hierarchy","Hero uses an external Unsplash background.","Brand authenticity and performance risk.","Replace with a real support/showroom photo hosted locally."
"GPT511","GPt 511.md","355","/support-ivr","IVR-05","Low","Mobile responsiveness","Breadcrumb path can get long and may wrap awkwardly.","Confusing navigation in the IVR.","Truncate intermediate crumbs with ellipsis and keep â€œBackâ€ prominent."
"GPT511","GPt 511.md","361","/products/seating","SEATC-01","High","Trust/credibility","Product cards show â€œStarting from â‚¹â€¦â€ based on a static PRICE_MAP (not real pricing).","Misleading price signals harm trust and cause drop-off.","Replace with â€œPrice on requestâ€ or data-driven price ranges; remove placeholder currency values."
"GPT511","GPt 511.md","362","/products/seating","SEATC-02","Medium","Merchandising/discovery","Sort options are limited (Aâ€“Z, eco score).","Users canâ€™t sort by relevance/popularity.","Add â€œRecommendedâ€ and â€œMost viewedâ€ sorts (server-provided)."
"GPT511","GPt 511.md","363","/products/seating","SEATC-03","Medium","Decision support","Category page lacks â€œhow to chooseâ€ guidance (headrest, certification, warranty).","Users still need sales calls to narrow down.","Add a â€œBuying guideâ€ panel with 3 decision questions + preset filters."
"GPT511","GPt 511.md","364","/products/seating","SEATC-04","High","Mobile responsiveness","Sticky toolbar + multiple fixed widgets can crowd the viewport; CompareDock can cover bottom row.","Harder to browse and tap on mobile.","Add bottom padding when docks are visible; merge floating widgets; ensure collision-free layout."
"GPT511","GPt 511.md","365","/products/seating","SEATC-05","Low","Accessibility/contrast","Search icon/placeholder uses light neutrals (`neutral-400`).","Reduced readability in sunlight.","Use neutral-600 for icons/placeholders and keep input borders stronger on focus."
"GPT511","GPt 511.md","371","/products/soft-seating","SOFTC-01","High","Trust/credibility","Same static â€œStarting from â‚¹â€¦â€ mapping appears in product cards.","Mispricing risk.","Remove static pricing; replace with â€œRequest priceâ€ or DB range."
"GPT511","GPt 511.md","372","/products/soft-seating","SOFTC-02","Medium","Content/copy","Category needs use-case framing (pods vs lounge vs reception) beyond a generic subtitle.","Users canâ€™t self-select.","Add a use-case strip (Reception, Breakout, Privacy pods) linking to preset filters."
"GPT511","GPt 511.md","373","/products/soft-seating","SOFTC-03","Medium","CTA clarity","Hero has `showButton=false` so no above-fold conversion CTA.","Missed high-intent conversions.","Add hero CTA â€œRequest a soft seating quoteâ€ â†’ `/contact?intent=soft-seating`."
"GPT511","GPt 511.md","374","/products/soft-seating","SOFTC-04","Medium","Decision support","No â€œspec sheet / acoustic ratingâ€ CTA at category level.","Pods/soft seating often need documentation.","Add a â€œRequest acoustic/spec sheetsâ€ CTA â†’ `/downloads?category=soft-seating`."
"GPT511","GPt 511.md","375","/products/soft-seating","SOFTC-05","Medium","Mobile responsiveness","CompareDock + other floating widgets can cover the last row of cards.","Tap errors and missed products.","Add dynamic bottom padding and dock stacking rules per breakpoint."
